control,heat,natural,shade
34,26,8,21
36,28,20,24
42,26,21,26
36,32,16,31
31,37,16,16
34,24,11,16
34,31,12,21
37,32,21,26
32,21,8,21
32,34,21,8
31,51,8,20
32,70,12,20
36,44,12,32
37,12,8,31
44,16,16,34
32,16,11,36
34,26,12,26
34,21,12,20
34,44,11,31
36,32,12,34
64,31,16,12
36,32,32,12
51,44,26,21
36,44,20,16
44,64,16,26
52,42,16,16
31,36,16,32
51,44,12,31
44,32,26,31
37,32,14,21
51,12,23,31
52,36,26,34
32,32,16,31
44,34,11,26
60,32,31,44
52,31,14,34
32,26,34,36
58,26,36,54
44,26,36,26
42,20,26,20
51,52,24,26
44,34,24,12
28,34,32,21
42,31,16,31
42,16,20,32
37,26,12,20
37,21,16,20
32,26,16,21
31,32,11,14
51,26,21,32
14,37,16,12
21,34,21,16
16,32,14,16
16,32,12,16
20,34,12,21
11,26,21,26
16,26,16,32
20,34,12,26
8,31,8,26
8,20,9,8
48,16,16,32
34,31,8,31
32,24,8,42
21,31,21,20
32,36,16,26
20,21,16,34
36,36,12,20
28,34,11,34
20,26,12,34
34,21,12,31
26,26,16,32
26,26,12,31
34,28,8,26
16,26,12,20
32,26,11,31
31,21,11,36
37,12,12,37
26,11,12,26
36,8,12,32
26,8,12,32
37,32,20,37
32,32,21,42
36,31,31,34
21,34,21,44
34,32,31,44
51,16,21,34
36,26,32,36
44,20,26,32
48,32,26,32
37,34,16,36
54,44,26,21
42,51,31,32
44,36,21,32
36,37,16,26
34,51,32,26
31,32,26,47
36,34,32,26
37,31,26,20
32,34,16,34
31,34,14,32
24,37,20,20
8,42,32,31
31,21,24,24
16,34,32,34
26,32,32,34
26,37,24,34
26,31,26,32
21,32,26,32
11,24,20,20
9,28,12,44
34,34,14,32
31,20,26,34
44,28,26,12
31,21,20,32
44,20,32,34
32,21,26,21
34,12,26,26
32,20,32,32
20,11,20,20
24,17,16,32
44,37,16,37
34,36,32,32
32,34,20,26
34,36,8,36
31,34,16,34
24,31,21,26
32,32,12,26
34,36,16,34
16,24,16,44
31,24,12,44
51,16,20,16
54,20,16,20
44,21,20,32
44,16,16,17
52,16,11,16
42,16,26,20
37,16,21,20
42,16,21,24
42,24,8,24
64,16,11,12
36,16,14,32
26,16,16,34
36,26,12,44
31,24,14,42
36,36,20,24
34,26,26,31
44,20,20,31
34,20,28,34
58,21,24,34
37,21,20,32
42,16,16,42
32,26,16,34
28,20,12,37
37,28,21,32
42,34,26,28
32,20,12,32
34,16,17,26
34,21,20,36
52,26,16,51
42,20,16,42
26,31,24,16
21,26,32,21
34,24,26,26
26,21,26,26
34,26,26,21
31,26,21,26
16,26,12,32
31,32,20,16
34,16,26,34
26,32,20,26
37,11,12,20
37,21,12,32
34,16,14,32
36,21,16,34
31,20,12,20
36,20,20,44
24,8,21,32
51,16,16,37
44,20,12,31
36,20,11,32
21,21,20,44
34,31,11,31
31,24,20,34
32,32,16,32
34,32,16,32
24,21,12,37
34,32,10,34
37,26,12,36
26,20,21,34
37,16,16,34
70,34,26,24
52,34,26,32
52,16,16,36
60,20,21,32
36,26,16,36
61,31,20,54
58,20,20,24
60,32,24,21
51,31,20,26
37,24,16,36
32,37,26,24
34,28,32,31
42,28,42,32
36,24,26,31
51,34,26,31
36,36,24,34
34,32,31,36
37,26,21,16
36,26,21,6
36,28,17,36
26,20,32,20
20,31,31,21
20,32,34,21
26,32,20,31
31,21,32,32
8,16,26,20
12,32,28,21
21,21,31,16
21,32,21,11
16,32,31,12
32,,20,20
26,,16,34
34,,26,28
20,,20,34
26,,20,16
24,,16,32
16,,24,36
34,,24,21
31,,26,32
31,,26,26
32,,24,16
37,,26,34
47,,21,20
37,,12,20
37,,26,34
37,,26,32
26,,20,26
42,,24,31
26,,31,16
34,,24,34
24,,9,31
26,,6,26
32,,6,32
34,,6,26
44,,8,34
16,,9,21
32,,10,20
36,,6,20
31,,9,21
56,,6,31
32,,16,20
32,,16,21
21,,21,16
34,,16,20
32,,16,20
37,,20,32
31,,8,26
31,,16,20
31,,26,24
21,,26,28
31,,16,44
28,,16,42
31,,21,34
44,,20,31
44,,16,36
37,,26,31
32,,12,34
16,,14,26
36,,20,32
34,,12,34
36,,26,11
34,,26,12
31,,20,11
26,,34,20
26,,20,14
28,,20,16
24,,20,14
31,,34,21
16,,24,21
21,,17,14
51,,,
51,,,
32,,,
44,,,
32,,,
32,,,
52,,,
44,,,
44,,,
36,,,
64,,,
36,,,
64,,,
36,,,
32,,,
51,,,
48,,,
60,,,
64,,,
32,,,
34,,,
37,,,
34,,,
32,,,
36,,,
34,,,
51,,,
36,,,
44,,,
58,,,
16,,,
36,,,
34,,,
44,,,
32,,,
36,,,
37,,,
32,,,
32,,,
32,,,